Stn_# Station                  Stn_Freq    Time_Offset    Stn_Lon    Ref_Lon
  418 HPLAINS   :A391979         60         180           -101.87     -50.00
  419 DATSAV3   :726566:KPQN     60         180            -96.32     -50.00
  420 DATSAV3   :726554:KJYG     60         180            -94.55     -50.00
  421 HPLAINS   :A396959         60         240           -103.00     -50.00
  422 ASOSH     :RAP             60         240           -103.06     -50.00
  423 ASOSH     :PHP             60         180           -101.60     -50.00
  424 DATSAV3   :726516:KPHP     60         180           -101.60     -50.00
  425 DATSAV3   :726620:KRAP     60         240           -103.05     -50.00
  426 DATSAV3   :726588:KONA     60         180            -91.70     -50.00
  427 DATSAV3   :726568:KOWA     60         180            -93.25     -50.00
  428 DATSAV3   :726625:KRCA     60         240           -103.10     -50.00
  429 DATSAV3   :726824:KSNT     60         240           -114.92     -50.00
  430 DATSAV3   :726585:KMKT     60         180            -93.92     -50.00
  431 HPLAINS   :A396599         60         180           -100.00     -50.00
  432 DATSAV3   :726515:KBKX     60         180            -96.82     -50.00
  433 DATSAV3   :726567:KULM     60         180            -94.50     -50.00
  434 HPLAINS   :A391079         60         180            -96.77     -50.00
  435 DATSAV3   :726563:KFBL     60         180            -93.32     -50.00
  436 ASOSH     :GCC             60         240           -105.54     -50.00
  437 DATSAV3   :726650:KGCC     60         240           -105.53     -50.00
  438 DATSAV3   :726654:KBYG     60         240           -106.72     -50.00
  439 ASOSH     :BYG             60         240           -106.72     -50.00
  440 DATSAV3   :726686:KPIR     60         180           -100.28     -50.00
  441 DATSAV3   :726540:KHON     60         180            -98.22     -50.00
  442 ASOSH     :HON             60         180            -98.23     -50.00
  443 DATSAV3   :726559:KMML     60         180            -95.82     -50.00
  444 ASOSH     :GEY             60         240           -108.08     -50.00
  445 DATSAV3   :726700:KCOD     60         240           -109.02     -50.00
  446 DATSAV3   :726664:KP60     60         240           -110.42     -50.00
