ADELE_SPRITE | 116.001 | NCAR/EOL/RAF
ARCSS | 106.ARCSS150 | Morison, J., J. Wettlaufer, D. Morison, and R. Andersen
ARCSS | 106.ARCSS151 | Stanton, Timothy
ARCSS | 106.ARCSS156 | Morison, J., K. Aagaard, R. Moritz, M. McPhee, A. Heiberg, M. Steele, and R. Andersen
ARCSS | 106.ARCSS157 | Randerson, James T.
ARCSS | 106.ARCSS158 | Zhang, Tingjun
ARCSS | 106.ARCSS159 | Bromwich, David H.
ARCSS | 106.ARCSS160 | Zhang, Tingjun
ARCSS | 106.ARCSS162 | Chapin, F. Stuart III
ARCSS | 106.ARCSS164 | Shaver, Gaius
ARCSS | 106.ARCSS166 | Zhang, Tingjun
ARCSS | 106.ARCSS173 | England, Anthony
ARCSS | 106.ARCSS176 | Eisner, Wendy R.
ARCSS | 106.ARCSS301 | Manley, William F.
ARCSS | 106.ARCSS400 | Gaylord, Allison Graves
ARCSS | 106.ARCSS900 | Walker, Marilyn
ARCSS | 106.ARCSS901 | Hinzman, Larry D., Douglas L. Kane, Douglas Goering
ARCSS | 106.ARCSS902 | Romanovsky, Vladimir E.
ARCSS | 106.ARCSS903 | Romanovsky, Vladimir E.
ARCSS | 106.ARCSS904 | Beringer, Jason, F. Stuart Chapin III, Catherine Copass
ARCSS | 106.ARCSS905 | Oechel, Walter C.
ARCSS | 106.ARCSS907 | Welker, Jeff, and Jace Fahnestock
ARCSS | 106.ARCSS908 | Webber, Patrick J. and Robert D. Hollister
ARCSS | 106.ARCSS910 | Oberbauer, Steven F.
ATLAS | 46.100 | Romanovsky, V.
ATLAS | 46.201 | Beringer, J.
ATLAS | 46.2010 | Beringer, J.
ATLAS | 46.202 | Beringer, J.
ATLAS | 46.2020 | Beringer, J.
ATLAS | 46.203 | Beringer, J.
ATLAS | 46.2030 | Beringer, J.
ATLAS | 46.204 | Beringer, J.
ATLAS | 46.2040 | Beringer, J.
ATLAS | 46.205 | Beringer, J.
ATLAS | 46.2050 | Beringer, J.
ATLAS | 46.206 | Beringer, J.
ATLAS | 46.2060 | Beringer, J.
ATLAS | 46.207 | Beringer, J.
ATLAS | 46.2070 | Beringer, J.
ATLAS | 46.208 | Beringer, J.
ATLAS | 46.2080 | Beringer, J.
ATLAS | 46.210 | Romanovsky, V.
ATLAS | 46.211 | Romanovsky, V.
ATLAS | 46.212 | Romanovsky, V.
ATLAS | 46.213 | Romanovsky, V.
ATLAS | 46.214 | Romanovsky, V.
ATLAS | 46.215 | Romanovsky, V.
ATLAS | 46.216 | Romanovsky, V.
ATLAS | 46.217 | Romanovsky, V.
ATLAS | 46.218 | Romanovsky, V.
ATLAS | 46.219 | Romanovsky, V.
ATLAS | 46.220 | Romanovsky, V.
ATLAS | 46.221 | Romanovsky, V.
ATLAS | 46.222 | Romanovsky, V.
ATLAS | 46.223 | Romanovsky, V.
ATLAS | 46.224 | Romanovsky, V.
ATLAS | 46.225 | Romanovsky, V.
ATLAS | 46.300 | Lynch, A.
ATLAS | 46.310 | Lloyd, A.
ATLAS | 46.311 | Lloyd, A.
ATLAS | 46.312 | Lloyd, A.
ATLAS | 46.313 | Lloyd, A.
ATLAS | 46.314 | Lloyd, A.
ATLAS | 46.400 | Shaver, G.
ATLAS | 46.401 | Shaver, G.
ATLAS | 46.402 | Shaver, G.
ATLAS | 46.403 | Shaver, G.
ATLAS | 46.404 | Shaver, G.
ATLAS | 46.405 | Shaver, G.
ATLAS | 46.406 | Shaver, G.
ATLAS | 46.407 | Shaver, G.
ATLAS | 46.408 | Shaver, G.
ATLAS | 46.500 | Oechel, W.
ATLAS | 46.501 | Oechel, W.
ATLAS | 46.502 | Oechel, W.
ATLAS | 46.503 | Hinzman, L., D. Kane, D. Goering
ATLAS | 46.510 | Oechel, W.
ATLAS | 46.5100 | Oechel, W.
ATLAS | 46.515 | Epstein, H., S. Riedel, D. Walker
ATLAS | 46.516 | Epstein, H., S. Riedel, D. Walker
ATLAS | 46.517 | Epstein, H., S. Riedel, D. Walker
ATLAS | 46.518 | Epstein, H., S. Riedel, D. Walker
ATLAS | 46.519 | Epstein, H., S. Riedel, D. Walker
ATLAS | 46.520 | Epstein, H., S. Riedel, D. Walker
ATLAS | 46.521 | Epstein, H., S. Riedel, D. Walker
ATLAS | 46.522 | Epstein, H., S. Riedel, D. Walker
ATLAS | 46.523 | Epstein, H., S. Riedel, D. Walker
ATLAS | 46.524 | Epstein, H., S. Riedel, D. Walker
ATLAS | 46.525 | Epstein, H., S. Riedel, D. Walker
ATLAS | 46.526 | Epstein, H., S. Riedel, D. Walker
ATLAS | 46.527 | Epstein, H., S. Riedel, D. Walker
ATLAS | 46.528 | Epstein, H., D. Walker
ATLAS | 46.529 | Epstein, H., D. Walker
ATLAS | 46.600 | Copass, C.
ATLAS | 46.616 | Walker, D., H. Maier
ATLAS | 46.617 | Beringer, J.
ATLAS | 46.6170 | Beringer, J.
ATLAS | 46.6171 | Beringer, J.
ATLAS | 46.618 | Hinzman, L.
ATLAS | 46.619 | Beringer, J.
ATLAS | 46.6190 | Beringer, J.
ATLAS | 46.620 | Beringer, J.
ATLAS | 46.6200 | Beringer, J.
ATLAS | 46.621 | Beringer, J.
